41,x,y,hoursRented,isRented
0,69,69,73,false
1,69,69,73,false
2,69,12,8,false
3,69,169,92,false
4,45,23,17,true
5,88,99,42,false
6,12,77,36,false
7,33,55,29,true
8,92,31,64,false
9,17,41,53,true
10,78,22,19,false
11,54,87,28,true
12,29,11,15,false
13,64,43,82,false
14,21,73,47,false
15,37,62,56,false
16,98,25,61,true
17,16,68,33,false
18,72,51,39,true
19,49,19,74,true
20,85,36,44,false
21,27,91,68,false
22,63,53,22,true
23,14,37,57,false
24,46,81,83,false
25,79,28,59,false
26,35,47,91,false
27,67,18,14,true
28,99,64,79,false
29,52,76,67,true
30,95,14,32,false
31,58,34,78,false
32,11,82,46,true
33,89,42,12,true
34,24,58,18,false
35,61,16,26,false
36,74,93,63,true
37,31,66,38,true
38,76,32,48,true
39,43,74,37,false
40,18,52,55,true
